Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
2000,7,HH,한화 이글스,133,50,78,5,276,5.24,391,0,25.93,0.6727727272727273,69.7,680.0,11.940000000000001,6.315714285714286,1.8133333333333332,776.0,434.35132860365593
2000,8,SK,SK 와이번스,133,44,86,3,260,5.99,338,0,12.610000000000001,0.6090322580645161,52.79354838709677,602.0,3.6500000000000004,5.829999999999999,1.8936363636363636,847.0,335.6173707851863
2001,1,SS,삼성 라이온즈,133,81,52,0,277,4.39,609,2,24.720000000000002,0.6176400000000001,52.208,739.0,25.28,6.662727272727272,2.275,644.0,568.3686542320362
2001,2,WO,현대 유니콘스,133,72,57,4,268,4.34,558,3,23.24,0.63332,52.904,711.0,21.55,4.254444444444444,1.6227777777777779,610.0,576.0128802745422
2001,3,OB,두산 베어스,133,65,63,5,276,4.96,508,1,24.310000000000002,0.6424444444444445,56.907407407407405,732.0,12.46,6.010833333333333,1.9845833333333334,733.0,499.3174064609232
2001,4,HH,한화 이글스,133,61,68,4,275,4.82,473,4,22.48,0.5593793103448277,35.48275862068966,659.0,17.689999999999998,120.08814814814815,5.401851851851852,733.0,446.9888942634633
2001,5,HT,HT 타이거즈,133,60,68,5,278,5.01,469,0,21.47,0.7163953488372093,78.72325581395349,696.0,17.09,5.5649999999999995,1.65975,727.0,478.22537255183823
2001,6,LG,LG 트윈스,133,58,67,8,276,5.09,464,0,20.92,0.6081379310344828,67.38333333333334,668.0,13.85,630.7891666666667,5.920833333333333,732.0,454.3810485837206
2001,7,SK,SK 와이번스,133,60,71,2,260,4.38,458,0,11.120000000000001,0.59175,50.732142857142854,596.0,20.67,6.62,1.6847058823529413,640.0,464.4463504941522
2001,8,LT,롯데 자이언츠,133,59,70,4,280,4.68,457,0,25.2,0.6287931034482759,57.56206896551724,718.0,19.720000000000002,160.6175,6.6625,670.0,534.5408243671512
2002,1,SS,삼성 라이온즈,133,82,47,4,284,3.92,636,1,39.56,0.6371666666666667,62.37083333333334,777.0,25.1,4.493888888888889,1.5,581.0,641.3846954704275
2002,2,HT,HT 타이거즈,133,78,51,4,269,3.92,605,3,27.029999999999998,0.635888888888889,63.34444444444444,641.0,24.22,5.7034782608695656,1.6539130434782607,580.0,549.8346672797117
2002,3,WO,현대 유니콘스,133,70,58,5,261,4.23,547,4,26.33,0.6581538461538462,69.62307692307692,658.0,16.37,4.212105263157895,1.832105263157895,592.0,552.6532112707835
2002,4,LG,LG 트윈스,133,66,61,6,261,3.93,520,2,18.45,0.5716785714285715,41.46071428571429,583.0,21.6,5.328695652173913,1.5943478260869566,575.0,506.9081331627574
